estado,cidade,tarifa_energia,irradiação_mensal,tamanho_sistema_kWp,consumo_mensal_kWh,custo_total_R$,geracao_estimativa_kWh,economia_mensal_R$,tipo_telhado,classe_consumo,possui_incentivo,ano_instalacao,payback_meses
SP,São Paulo,0.85,4.5,3.9,670.6,18609.08,421.2,358.02,inclinado,rural,sim,2023,52.0
BA,Vitória da Conquista,0.88,5.2,8.1,832.7,39873.78,1010.9,732.78,inclinado,rural,sim,2021,54.4
DF,Ceilândia,0.92,5.0,8.6,600.4,40990.69,1032.0,552.37,plano,rural,sim,2021,74.2
SC,Chapecó,0.83,4.4,8.2,850.5,40057.79,865.9,705.91,plano,residencial,sim,2020,56.7
DF,Brasília,0.92,5.0,9.3,618.1,46225.1,1116.0,568.65,inclinado,rural,não,2022,81.3
MG,Betim,0.9,5.0,2.9,682.7,13326.06,348.0,313.2,inclinado,rural,não,2019,42.5
PE,Olinda,0.87,5.3,8.7,620.0,39323.78,1106.6,539.4,plano,rural,sim,2021,72.9
BA,Camaçari,0.88,5.2,9.2,778.5,40120.78,1148.2,685.08,plano,residencial,não,2019,58.6
BA,Ilhéus,0.88,5.2,5.4,871.6,24870.5,673.9,593.05,plano,residencial,sim,2020,41.9
SP,São José dos Campos,0.85,4.5,4.2,338.6,17742.78,453.6,287.81,plano,residencial,sim,2023,61.6
DF,Brasília,0.92,5.0,9.8,987.4,44123.71,1176.0,908.41,plano,rural,não,2022,48.6
DF,Planaltina,0.92,5.0,4.0,917.7,18904.34,480.0,441.6,inclinado,residencial,não,2021,42.8
MG,Montes Claros,0.9,5.0,4.6,692.3,21898.46,552.0,496.8,inclinado,residencial,sim,2023,44.1
RS,Novo Hamburgo,0.95,4.3,8.3,461.1,37469.89,856.6,438.05,plano,residencial,sim,2022,85.5
MG,Betim,0.9,5.0,8.1,473.1,36922.97,972.0,425.79,plano,rural,não,2021,86.7
PE,Caruaru,0.87,5.3,9.6,362.3,47116.8,1221.1,315.2,inclinado,rural,sim,2021,149.5
RS,Santa Cruz do Sul,0.95,4.3,3.7,727.3,16585.97,381.8,362.75,inclinado,residencial,sim,2021,45.7
MG,Montes Claros,0.9,5.0,7.3,450.6,31815.61,876.0,405.54,inclinado,rural,não,2021,78.5
PE,Caruaru,0.87,5.3,3.2,459.5,15553.17,407.0,354.12,plano,rural,não,2019,43.9
PE,Petrolina,0.87,5.3,8.7,724.7,42033.14,1106.6,630.49,inclinado,rural,não,2019,66.7
CE,Caucaia,0.89,5.5,6.3,669.9,29360.95,831.6,596.21,plano,residencial,não,2023,49.2
SC,Chapecó,0.83,4.4,8.2,922.9,38088.33,865.9,718.71,plano,residencial,não,2023,53.0
BA,Camaçari,0.88,5.2,3.9,561.1,18228.44,486.7,428.31,inclinado,residencial,sim,2023,42.6
CE,Sobral,0.89,5.5,9.3,477.4,41643.7,1227.6,424.89,inclinado,residencial,sim,2021,98.0
DF,Brasília,0.92,5.0,9.4,450.5,39494.72,1128.0,414.46,plano,residencial,sim,2022,95.3
CE,Caucaia,0.89,5.5,4.0,899.1,18009.82,528.0,469.92,inclinado,residencial,sim,2022,38.3
MG,Montes Claros,0.9,5.0,3.6,799.9,17898.2,432.0,388.8,plano,residencial,não,2022,46.0
GO,Anápolis,0.86,5.1,9.6,500.5,44093.56,1175.0,430.43,inclinado,residencial,não,2023,102.4
DF,Taguatinga,0.92,5.0,3.8,996.8,18859.5,456.0,419.52,inclinado,rural,não,2022,45.0
GO,Catalão,0.86,5.1,4.8,988.0,23559.74,587.5,505.27,plano,rural,não,2020,46.6
BA,Feira de Santana,0.88,5.2,9.7,709.2,47428.52,1210.6,624.1,plano,residencial,não,2023,76.0
BA,Camaçari,0.88,5.2,8.6,834.5,38018.76,1073.3,734.36,plano,residencial,sim,2023,51.8
CE,Fortaleza,0.89,5.5,5.3,562.6,22473.26,699.6,500.71,plano,rural,sim,2020,44.9
SC,Joinville,0.83,4.4,2.6,910.1,12859.66,274.6,227.88,inclinado,residencial,não,2022,56.4
GO,Rio Verde,0.86,5.1,6.1,646.8,29693.7,746.6,556.25,plano,residencial,não,2021,53.4
